cityName,mfcTypeLabel,dateRetrieved,objectCoordinates
,building,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17632910200811 25.2051019967432, 43.17632124083574 25.20509121695979, 43.176317310249146 25.205080437176377, 43.17631337966233 25.20505887760956, 43.17630944907525 25.20499958880081, 43.17628979613607 25.204886401075008, 43.17628979613607 25.204832502157963, 43.17628193495864 25.204805552699437, 43.176281934958624 25.20478399313262, 43.176278004369514 25.20477860324091, 43.176278004369514 25.2047624335658, 43.17628586554746 25.204751653782388, 43.17630158790034 25.20474626389069, 43.17632124083575 25.204740873998983, 43.17632910200813 25.204740873998983, 43.17633696317948 25.20474626389069, 43.17634482434985 25.2047570436741, 43.17634482434986 25.20479477291603, 43.176348754934665 25.204821722374554, 43.17636054668755 25.204870231399894, 43.17636054668754 25.204902570750125, 43.17636840785487 25.204924130316943, 43.1763841301865 25.20503731804274, 43.1763841301865 25.205069657392972, 43.17637626902118 25.205080437176377, 43.176368407854866 25.205085827068082, 43.17634482434986 25.205096606851495, 43.17632910200811 25.2051019967432))"
,building,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18321510027548 25.232213152017923, 43.18321510027548 25.232315559960316, 43.18320330984633 25.232315559960316, 43.18319544955893 25.232320949852024, 43.18318758927056 25.23234250941884, 43.18318758927056 25.232412578011, 43.18317186869075 25.232407188119293, 43.183156148106896 25.232396408335887, 43.183144357666364 25.232391018444183, 43.183105056181425 25.232396408335887, 43.1830971958814 25.232391018444183, 43.18309326573102 25.232385628552482, 43.18308933558038 25.232374848769066, 43.183081475278314 25.23234250941884, 43.18308147527832 25.232304780176904, 43.18308933558037 25.23226166104327, 43.18308933558037 25.232213152017923, 43.18309326573102 25.232202372234514, 43.1830971958814 25.23219698234281, 43.18310112603155 25.23219698234281, 43.18312077677843 25.232202372234514, 43.18313256722354 25.232202372234514, 43.18314828781345 25.23219159245111, 43.183183659126 25.23219159245111, 43.18321510027548 25.232213152017923))"
,building,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18352165063444 25.230429097863666, 43.183505930140655 25.230423707971966, 43.183494139767674 25.23039136862173, 43.183486279517744 25.230348249488095, 43.18348627951774 25.230321300029576, 43.1834784192668 25.230299740462748, 43.183470559014815 25.230245841545702, 43.18346269876188 25.23015960327843, 43.18346662888846 25.230132653819908, 43.18347448914093 25.230127263928203, 43.18350593014064 25.230127263928203, 43.18350986026449 25.230121874036495, 43.18353737112416 25.230121874036495, 43.18354523136752 25.230143433603313, 43.18355309160985 25.23021889208718, 43.18355309160985 25.230267401112524, 43.18355702173067 25.230305130354456, 43.18356881209147 25.230375198946618, 43.18356881209149 25.23039136862173, 43.18356488197145 25.230402148405144, 43.18353344100211 25.230423707971966, 43.18352165063444 25.230429097863666))"
,building,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18299108173203 25.230267401112524, 43.18299501188901 25.23027818089593, 43.182995011889005 25.230326689921274, 43.18299108173205 25.230563845156286, 43.182987151574814 25.2305854047231, 43.182983221417345 25.230596184506506, 43.18296750078489 25.23060696428992, 43.182939989668405 25.23060696428992, 43.18293212934712 25.230601574398218, 43.182924269024845 25.230590794614812, 43.18292426902483 25.230283570787638, 43.18292819918611 25.230272791004225, 43.1829360595079 25.23026201122082, 43.18299108173203 25.230267401112524))"
,building,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18280243389996 25.230439877647072, 43.182790643391115 25.23043448775537, 43.18278671322099 25.230423707971966, 43.18278278305062 25.23021889208718, 43.18279064339111 25.230186552736953, 43.18279064339111 25.230170383061836, 43.18278278305062 25.230143433603313, 43.18278278305061 25.230067975119447, 43.182790643391115 25.230057195336038, 43.18280243389997 25.23005180544434, 43.182818154574896 25.23005180544434, 43.18282208474301 25.23004641555263, 43.18283387524582 25.23004641555263, 43.1828338752458 25.23008414479456, 43.182837805412895 25.23008953468627, 43.1828378054129 25.23015421338673, 43.18284566574631 25.23019194262866, 43.18284959591265 25.230288960679342, 43.18284959591264 25.230385978730027, 43.182845665746314 25.230423707971966, 43.182826014910866 25.23043448775537, 43.18280243389996 25.230439877647072))"
,building,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.184633865294806 25.22433313034563, 43.18461421503494 25.22433313034563, 43.184606354929244 25.224327740453923, 43.184602424876 25.22432235056222, 43.184602424876005 25.224316960670514, 43.184594564768766 25.22430618088711, 43.184555264217444 25.224192993161306, 43.18453561393228 25.224144484135966, 43.1845198936996 25.22411753467744, 43.1845159636408 25.22410675489403, 43.18451203358174 25.224090585218917, 43.18450810352244 25.224063635760395, 43.18450810352244 25.22400434695164, 43.18451203358174 25.22399356716823, 43.1845198936996 25.223982787384823, 43.1845198936996 25.223977397493115, 43.18453168387449 25.223972007601414, 43.18454740410415 25.22399356716823, 43.1845591942737 25.22401512673505, 43.18461814508742 25.224187603269602, 43.184629935243336 25.224209162836416, 43.1846338652948 25.22423072240324, 43.18464565544768 25.22425228197006, 43.184649585498136 25.224263061753465, 43.18465744559828 25.22429001121199, 43.18465744559828 25.224311570778813, 43.18464958549813 25.22432235056222, 43.184633865294806 25.22433313034563))"
,building,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18302645313564 25.232256271151567, 43.18300680235839 25.232256271151567, 43.182987151574814 25.232245491368154, 43.18297143094339 25.232245491368154, 43.18295964046718 25.23226166104327, 43.18295178014842 25.232267050934972, 43.182943919828666 25.232267050934972, 43.18292819918612 25.232256271151567, 43.18292033886333 25.232245491368154, 43.182920338863326 25.232234711584745, 43.182916408701544 25.232223931801336, 43.182908548377235 25.232213152017923, 43.182900688051916 25.232213152017923, 43.182892827725574 25.232202372234514, 43.18288496739822 25.23219698234281, 43.18286924674051 25.23219698234281, 43.1828613864101 25.23219159245111, 43.18285352607871 25.232180812667703, 43.182853526078716 25.232143083425765, 43.18286138641011 25.232099964292125, 43.18286138641012 25.23198677656633, 43.18286531657544 25.231975996782918, 43.18291247853953 25.23197060689121, 43.18292033886333 25.231975996782918, 43.182924269024845 25.232035285591667, 43.18292033886333 25.232180812667703, 43.182928199186115 25.23219159245111, 43.18295964046718 25.23219698234281, 43.18297536110163 25.23219698234281, 43.182983221417345 25.2321862025594, 43.183014662670054 25.2321862025594, 43.183030383290344 25.23219698234281, 43.18303824359897 25.232207762126222, 43.183038243598965 25.232223931801336, 43.18302645313564 25.232256271151567))"
,building,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18294784998868 25.22972841194205, 43.182967500784905 25.229733801833753, 43.18297143094338 25.229744581617165, 43.18297536110164 25.229766141183983, 43.182975361101626 25.229825429992736, 43.18298322141735 25.22987932890978, 43.182983221417345 25.229922448043425, 43.182979291259606 25.229949397501944, 43.18297143094339 25.22996556717706, 43.18297536110163 25.23005180544434, 43.18297536110164 25.230121874036495, 43.1829714309434 25.230132653819908, 43.18295178014842 25.230143433603313, 43.18293998966841 25.230143433603313, 43.1829360595079 25.23013804371161, 43.182928199186115 25.23013804371161, 43.18292426902485 25.230127263928203, 43.18292033886333 25.23005180544434, 43.18292426902485 25.229960177285356, 43.18292033886333 25.229911668260012, 43.18292033886333 25.2299008884766, 43.18292426902485 25.22985237945126, 43.18292033886333 25.2297877007508, 43.18292426902484 25.229766141183983, 43.1829281991861 25.22974997150887, 43.18293212934713 25.229739191725457, 43.18294784998868 25.22972841194205))"
,building,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.18235046276434 25.230245841545702, 43.182338672168214 25.230245841545702, 43.18232688156979 25.230235061762293, 43.18229937016461 25.23019733252036, 43.1822757889503 25.230132653819908, 43.18227185874703 25.23010570436138, 43.18226006813568 25.23008414479456, 43.18224434731707 25.230062585227746, 43.1822168358747 25.23003024587751, 43.1822168358747 25.230024855985814, 43.18218932441992 25.229987126743882, 43.18218146400199 25.229970957068762, 43.18218539421109 25.22995478739365, 43.182197184836845 25.229938617718535, 43.1822168358747 25.229922448043425, 43.18229937016459 25.23003563576922, 43.182307230567346 25.23005180544434, 43.18231116076834 25.23007336501115, 43.18235046276434 25.230121874036495, 43.1823583231605 25.230132653819908, 43.18238583453913 25.23018116284525, 43.18238583453915 25.23019194262866, 43.182374043949814 25.230213502195475, 43.18235046276434 25.230245841545702))"
,building,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.176313379662325 25.212604725996165, 43.176317310249146 25.2126478451298, 43.17631337966233 25.212674794588324, 43.1762976573125 25.212717913721963, 43.176289796136054 25.21272869350537, 43.176289796136054 25.21273408339708, 43.176285865547456 25.21273947328878, 43.17627014319056 25.21273947328878, 43.17624655964759 25.21273408339708, 43.176234767872685 25.21272869350537, 43.17617973955972 25.21269635415515, 43.17616794777192 25.21269635415515, 43.176160086578776 25.21269096426344, 43.176156155981836 25.212653235021506, 43.17616794777192 25.212615505779574, 43.17616401717548 25.21257777653764, 43.17619153134525 25.21257777653764, 43.17619939253434 25.212566996754234, 43.1762072537224 25.21256160686253, 43.176234767872685 25.21256160686253, 43.17627407378015 25.21258855632105, 43.17630551848792 25.212599336104457, 43.176313379662325 25.212604725996165))"
