cityName,mfcTypeLabel,dateRetrieved,objectCoordinates
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17411537322405 25.193643271838596, 43.174111461072975 25.19365400067439, 43.17410363677007 25.19366472951018, 43.17408798816128 25.193675458345968, 43.174076251702054 25.193675458345968, 43.17406842739463 25.193670093928073, 43.17405669093165 25.193659365092284, 43.17403713015498 25.193632543002806, 43.174033217998904 25.193616449749122, 43.174033217998904 25.193600356495434, 43.17406060308624 25.193578898823855, 43.174095812466184 25.19358426324175, 43.17410754892165 25.193600356495434, 43.17411537322405 25.193616449749122, 43.17411537322405 25.193643271838596))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.174150582572395 25.23350089679978, 43.174146670423596 25.233511625635572, 43.174107548921654 25.233516990053463, 43.17409972461825 25.233516990053463, 43.174091900313854 25.233511625635572, 43.17408798816128 25.233495532381887, 43.174076251702054 25.2334740747103, 43.17407233954845 25.23346334587451, 43.174072339548445 25.233447252620827, 43.17407625170204 25.23343652378504, 43.17408016385537 25.23343115936714, 43.174087988161276 25.233425794949248, 43.174107548921654 25.23342043053135, 43.17412710967576 25.23342043053135, 43.17414275827453 25.23343115936714, 43.17415058257241 25.233452617038722, 43.174150582572395 25.23350089679978))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17415449472098 25.199624597791725, 43.1741466704236 25.199624597791725, 43.17414275827453 25.19962996220962, 43.17411537322405 25.199624597791725, 43.17411537322405 25.199619233373827, 43.17410754892165 25.199608504538038, 43.174103636770084 25.19959241128435, 43.17409972461826 25.199522673851718, 43.17409972461825 25.19949048734434, 43.17410363677008 25.199479758508552, 43.17411928537485 25.19947439409066, 43.17414275827453 25.19947439409066, 43.1741505825724 25.199479758508552, 43.174158406869296 25.19949048734434, 43.174158406869296 25.19952803826961, 43.17417014331274 25.199549495941188, 43.17417014331274 25.199581682448567, 43.17416623116515 25.199597775702248, 43.17416231901735 25.199608504538038, 43.17415449472098 25.199624597791725))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17417014331274 25.19940465665802, 43.17416623116516 25.199431478747492, 43.17416231901735 25.199431478747492, 43.1741466704236 25.199426114329604, 43.1741466704236 25.19940465665802, 43.17417014331274 25.19940465665802))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17417796760709 25.230019389585806, 43.17418187975391 25.230030118421595, 43.17417796760711 25.230040847257392, 43.17417014331274 25.230051576093178, 43.17415840686929 25.230040847257392, 43.174158406869296 25.230030118421595, 43.174162319017356 25.230019389585806, 43.17417796760709 25.230019389585806))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.174095812466184 25.19934028364328, 43.17408407600845 25.199329554807488, 43.17407625170205 25.199313461553803, 43.17407233954845 25.199302732718014, 43.17407233954845 25.199265181792747, 43.174052778776826 25.199216902031694, 43.174044954466396 25.199190079942213, 43.17404495446641 25.19917398668853, 43.17403713015498 25.199157893434844, 43.17403713015498 25.199131071345374, 43.17403321799891 25.199109613673787, 43.17402930584257 25.199093520420103, 43.174021481529145 25.199066698330626, 43.17401365721472 25.199050605076938, 43.174005832899304 25.199045240659046, 43.174001920741226 25.199034511823253, 43.174001920741226 25.199013054151678, 43.17400974505713 25.19899696089799, 43.17401365721472 25.198970138808512, 43.17401756937207 25.19894868113693, 43.17401756937206 25.19892722346535, 43.17401365721472 25.198921859047452, 43.174013657214715 25.19889503695798, 43.17400583289929 25.19887894370429, 43.17399800858286 25.198841392779027, 43.17399409642428 25.198782384182177, 43.173990184265435 25.198760926510595, 43.173978447787405 25.198734104421124, 43.17397453562757 25.198712646749545, 43.173974535627565 25.198648273734804, 43.17398235994701 25.198626816063218, 43.173982359947 25.198610722809534, 43.17398627210635 25.19860535839164, 43.173986272106355 25.19859462955585, 43.173982359947004 25.198508798869526, 43.17397844778741 25.198460519108476, 43.17397062346749 25.19843906143689, 43.173954974824596 25.19841760376531, 43.17395106266325 25.198406874929518, 43.17394715050165 25.198390781675833, 43.17394715050165 25.19837468842215, 43.17395497482461 25.19833713749688, 43.1739549748246 25.198288857735825, 43.17396279914656 25.198278128900032, 43.17396671130713 25.198256671228453, 43.17396671130714 25.198240577974772, 43.1739588869857 25.19821375588529, 43.173958886985695 25.198176204960028, 43.17395497482461 25.19817084054213, 43.17395497482461 25.198138654034757, 43.17396279914655 25.198117196363174, 43.17399800858286 25.19811183194528, 43.174013657214715 25.19812792519897, 43.17401756937206 25.198138654034757, 43.17402148152915 25.198154747288452, 43.174025393685994 25.198197662631607, 43.174025393685994 25.198251306810555, 43.17404104231082 25.198272764482137, 43.17405277877683 25.198278128900032, 43.17406060308623 25.198288857735825, 43.174064515240566 25.19830495098951, 43.174064515240566 25.198353230750566, 43.174072339548445 25.19837468842215, 43.17407233954846 25.198406874929518, 43.174076251702054 25.198444425854788, 43.174087988161276 25.19847124794426, 43.174091900313854 25.198492705615838, 43.174091900313854 25.19852489212321, 43.17410363677008 25.198546349794796, 43.17411537322405 25.198562443048477, 43.17412710967576 25.198583900720056, 43.17413102182583 25.19859462955585, 43.17413493397565 25.19861608722743, 43.17413493397566 25.19863754489901, 43.174142758274535 25.198653638152695, 43.17414275827453 25.198718011167436, 43.174134933975644 25.198734104421124, 43.17413493397565 25.198750197674812, 43.17412710967576 25.198766290928496, 43.17412319752542 25.198782384182177, 43.17411928537486 25.198803841853763, 43.17411928537486 25.198830663943234, 43.174111461072975 25.19885748603271, 43.174111461072975 25.19892722346535, 43.17411537322405 25.19901841856957, 43.17412319752544 25.199034511823253, 43.174127109675766 25.199055969494836, 43.17412710967576 25.19908279158431, 43.17413102182583 25.199093520420103, 43.17417014331274 25.199141800181156, 43.174177967607115 25.199157893434844, 43.17418187975392 25.19917398668853, 43.17418579190046 25.199200808778006, 43.17418579190047 25.199232995285374, 43.17417014331274 25.199275910628536, 43.17415840686929 25.199292003882224, 43.17414275827453 25.19930809713591, 43.174134933975644 25.1993188259717, 43.17412710967576 25.1993188259717, 43.17412319752543 25.199324190389593, 43.174111461072975 25.199324190389593, 43.174095812466184 25.19934028364328))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17419361619284 25.200579464177064, 43.17420535262952 25.20058482859496, 43.17420535262953 25.20059555743075, 43.17420144048421 25.20060628626654, 43.17419361619284 25.200579464177064))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17426794692035 25.23329168450187, 43.17426794692036 25.233307777755552, 43.17426403477906 25.233318506591342, 43.174252298353665 25.23333459984503, 43.17424447406882 25.23333459984503, 43.174236649782955 25.23333996426292, 43.17422882549611 25.233350693098714, 43.174228825496094 25.2333667863524, 43.174221001208245 25.233388244023978, 43.174213176919395 25.23339360844188, 43.17416623116517 25.23337751518819, 43.17415840686929 25.2333667863524, 43.17415449472097 25.23335605751661, 43.17415449472097 25.23332923542713, 43.17415840686929 25.233318506591342, 43.174162319017356 25.233313142173447, 43.17417796760711 25.233302413337654, 43.17418579190048 25.233302413337654, 43.17419361619284 25.23329704891976, 43.17421317691938 25.23327022683029, 43.174256210495706 25.23327022683029, 43.17426403477905 25.233280955666075, 43.17426794692035 25.23329168450187))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.174275771202204 25.200649201609703, 43.17427577120221 25.20067602369918, 43.174264034779064 25.200681388117076, 43.174252298353665 25.200665294863388, 43.1742562104957 25.20064383719181, 43.174275771202204 25.200649201609703))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.174287507623085 25.230958162717464, 43.174287507623085 25.230979620389043, 43.17428359548303 25.230990349224843, 43.174275771202204 25.230995713642727, 43.17426794692035 25.230995713642727, 43.17425621049572 25.230979620389043, 43.174256210495706 25.230963527135362, 43.174260122637506 25.230952798299565, 43.17427968334275 25.230952798299565, 43.174287507623085 25.230958162717464))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17430315618076 25.236167012493684, 43.174299244041705 25.23617774132947, 43.174295331902435 25.23618310574737, 43.17427968334275 25.236193834583162, 43.17426403477907 25.236193834583162, 43.174252298353665 25.23617774132947, 43.17424838621137 25.236167012493684, 43.17424838621135 25.2361455548221, 43.17429141976288 25.236140190404207, 43.17429924404171 25.2361455548221, 43.17430315618076 25.236167012493684))"
,forest,2024-09-16,"<http://www.opengis.net/def/crs/OGC/1.3/CRS84> Polygon((43.17433054114703 25.193648636256494, 43.17433054114704 25.193670093928073, 43.17431880473442 25.193686187181758, 43.174314892596385 25.193686187181758, 43.17429924404171 25.193707644853344, 43.1742875076231 25.193713009271235, 43.17426794692035 25.193713009271235, 43.17426012263752 25.193707644853344, 43.17425621049571 25.193702280435446, 43.17425229835367 25.193691551599656, 43.174252298353665 25.19366472951018, 43.174260122637506 25.19365400067439, 43.17427577120221 25.193648636256494, 43.17433054114703 25.193648636256494))"
