,CAMS_no2_conc_high,CAMS_no2_conc,ERA5_skt,ERA5_blh,ERA5_tp,ERA5_windspeed,ERA5_t2m,ERA5_uvb,OSM_sum_highway_score,OSM_max_highway_score,road_traffic,HDX_population_density_frequency
count,28580.0,28580.0,28580.0,28580.0,28580.0,28580.0,28580.0,28580.0,28580.0,28580.0,28580.0,28579.0
mean,12.893392705877188,12.603502761124956,9.041153315531552,301.6952901680196,7.620172505663495e-05,10.052296948624335,10.436239906334324,0.0,153.22067879636109,4.654653603918824,24.50021495549806,4.5867944994576435
std,10.615922463669104,10.405523920790943,6.374108060637221,293.3581170475706,0.0003011280394271757,5.810187301451235,6.203982378439304,0.0,113.20019538824363,1.279748444856303,3.630456122601876,2.8865662209097818
min,0.28050888,0.3017074036334217,-19.33313,9.949707,-3.7252903e-09,0.0278375625746028,-12.424194,0.0,0.0,0.0,19.22876799556628,0.0
25%,5.68429975,5.525953547684087,4.4146423,88.3418,0.0,6.247889781391615,5.71617145,0.0,61.0,2.0,22.599679092528618,2.0
50%,9.7003015,9.436546668276758,9.154861499999999,201.35938,0.0,8.84395219075936,10.507934500000001,0.0,132.0,4.0,22.599679092528618,5.0
75%,16.6791695,16.31463769184679,13.738556,412.6892675,5.915761e-06,12.43728000509582,15.0648045,0.0,219.0,5.0,28.58512943694603,7.0
max,74.00191,72.35253564681476,27.944458,1868.3424,0.0065539293,47.23570466693136,28.944153,0.0,581.0,7.0,28.58512943694603,10.0
