latitude,longitude,CAMS_no2_conc_high,CAMS_no2_conc,ERA5_skt,ERA5_blh,ERA5_tp,ERA5_windspeed,ERA5_t2m,ERA5_uvb,OSM_sum_highway_score,OSM_max_highway_score,road_traffic,HDX_population_density_frequency
43.540028,1.4059004,11.978199,10.780124,14.517376,505.43625,1.0271759,10.545284,14.326167,61319.254,35.0,5.0,53.26937124459492,1
43.540028,1.4213789,11.978199,11.020651,14.517376,505.43625,1.0271759,10.545284,14.326167,61319.254,2.0,2.0,53.26937124459492,0
43.540028,1.4368573,11.978199,11.26118,14.517376,505.43625,1.0271759,10.545284,14.326167,61319.254,7.0,2.0,53.26937124459492,0
43.540028,1.4445966,11.978199,11.381444,14.517376,505.43625,1.0271759,10.545284,14.326167,61319.254,136.0,3.0,53.26937124459492,0
43.540028,1.452336,11.978199,11.411748,14.517376,505.43625,1.0172147,10.690707,14.33204,61319.254,63.0,3.0,53.26937124459492,0
43.540028,1.4600751,11.978199,11.233954,14.517376,505.43625,1.0172147,10.690707,14.33204,61319.254,62.0,4.0,53.26937124459492,1
43.540028,1.5297285,9.433032,9.633808,14.452524,511.00403,1.0172147,10.690707,14.33204,61419.324,181.0,5.0,53.26937124459492,0
43.540028,1.5374678,9.433032,9.456015,14.452524,511.00403,1.0172147,10.690707,14.33204,61419.324,26.0,5.0,53.26937124459492,0
43.540028,1.5452071,9.433032,9.27822,14.452524,511.00403,1.0172147,10.690707,14.33204,61419.324,2.0,2.0,53.26937124459492,0
43.540028,1.5529464,9.433032,9.111459,14.452524,511.00403,1.0339712,10.620505,14.218989,61419.324,49.0,3.0,53.26937124459492,0
43.547768,1.313029,10.184459,8.93308,14.517376,505.43625,1.0430375,10.188771,14.204411,61319.254,34.0,4.0,53.26937124459492,0
43.547768,1.3207684,10.184459,9.182239,14.517376,505.43625,1.0430375,10.188771,14.204411,61319.254,25.0,1.0,53.26937124459492,0
43.547768,1.3285077,10.184459,9.4313965,14.517376,505.43625,1.0430375,10.188771,14.204411,61319.254,40.0,3.0,53.26937124459492,1
43.547768,1.3362468,10.184459,9.680555,14.517376,505.43625,1.0430375,10.188771,14.204411,61319.254,29.0,1.0,53.26937124459492,1
43.547768,1.3439862,10.184459,9.929714,14.517376,505.43625,1.0430375,10.188771,14.204411,61319.254,40.0,4.0,53.26937124459492,4
43.547768,1.3517255,10.184459,10.153347,14.517376,505.43625,1.0271759,10.545284,14.326167,61319.254,58.0,4.0,53.26937124459492,1
43.547768,1.3594646,10.184459,10.288013,14.517376,505.43625,1.0271759,10.545284,14.326167,61319.254,64.0,4.0,53.26937124459492,0
43.547768,1.367204,10.184459,10.42268,14.517376,505.43625,1.0271759,10.545284,14.326167,61319.254,30.0,4.0,53.26937124459492,0
43.547768,1.3749433,10.184459,10.557346,14.517376,505.43625,1.0271759,10.545284,14.326167,61319.254,42.0,4.0,53.26937124459492,0
43.547768,1.3826824,10.184459,10.692013,14.517376,505.43625,1.0271759,10.545284,14.326167,61319.254,56.0,4.0,53.26937124459492,1
43.547768,1.3904217,10.184459,10.826679,14.517376,505.43625,1.0271759,10.545284,14.326167,61319.254,54.0,4.0,53.26937124459492,3
43.547768,1.398161,10.184459,10.961346,14.517376,505.43625,1.0271759,10.545284,14.326167,61319.254,180.0,7.0,53.26937124459492,3
43.547768,1.4059004,11.978199,11.096012,14.517376,505.43625,1.0271759,10.545284,14.326167,61319.254,165.0,7.0,53.26937124459492,3
43.547768,1.4136395,11.978199,11.2306795,14.517376,505.43625,1.0271759,10.545284,14.326167,61319.254,59.0,5.0,53.26937124459492,1
43.547768,1.4213789,11.978199,11.365346,14.517376,505.43625,1.0271759,10.545284,14.326167,61319.254,0.0,0.0,53.26937124459492,1
43.547768,1.4291182,11.978199,11.50001,14.517376,505.43625,1.0271759,10.545284,14.326167,61319.254,4.0,4.0,53.26937124459492,0
43.547768,1.4368573,11.978199,11.634677,14.517376,505.43625,1.0271759,10.545284,14.326167,61319.254,16.0,3.0,53.26937124459492,0
43.547768,1.4445966,11.978199,11.769344,14.517376,505.43625,1.0271759,10.545284,14.326167,61319.254,61.0,3.0,53.26937124459492,0
43.547768,1.452336,11.978199,11.805209,14.517376,505.43625,1.0172147,10.690707,14.33204,61319.254,69.0,3.0,53.26937124459492,1
43.547768,1.4600751,11.978199,11.61253,14.517376,505.43625,1.0172147,10.690707,14.33204,61319.254,229.0,5.0,53.26937124459492,1
43.547768,1.4678144,11.978199,11.419847,14.517376,505.43625,1.0172147,10.690707,14.33204,61319.254,166.0,5.0,53.26937124459492,1
43.547768,1.51425,9.433032,10.263759,14.452524,511.00403,1.0172147,10.690707,14.33204,61419.324,83.0,3.0,53.26937124459492,1
43.547768,1.5219893,9.433032,10.071077,14.452524,511.00403,1.0172147,10.690707,14.33204,61419.324,63.0,5.0,53.26937124459492,0
43.547768,1.5297285,9.433032,9.878396,14.452524,511.00403,1.0172147,10.690707,14.33204,61419.324,74.0,5.0,53.26937124459492,0
43.547768,1.5374678,9.433032,9.685714,14.452524,511.00403,1.0172147,10.690707,14.33204,61419.324,118.0,3.0,53.26937124459492,1
43.547768,1.5452071,9.433032,9.493032,14.452524,511.00403,1.0172147,10.690707,14.33204,61419.324,22.0,3.0,53.26937124459492,0
43.547768,1.5529464,9.433032,9.312951,14.452524,511.00403,1.0339712,10.620505,14.218989,61419.324,54.0,3.0,53.26937124459492,0
43.547768,1.5606856,9.433032,9.153364,14.452524,511.00403,1.0339712,10.620505,14.218989,61419.324,86.0,3.0,53.26937124459492,0
43.555504,1.313029,10.184459,9.033377,14.517376,505.43625,1.0343089,10.373634,14.506198,61319.254,34.0,4.0,53.26937124459492,1
43.555504,1.3207684,10.184459,9.289859,14.517376,505.43625,1.0343089,10.373634,14.506198,61319.254,15.0,1.0,53.26937124459492,0
43.555504,1.3285077,10.184459,9.54634,14.517376,505.43625,1.0343089,10.373634,14.506198,61319.254,90.0,4.0,53.26937124459492,0
43.555504,1.3362468,10.184459,9.802821,14.517376,505.43625,1.0343089,10.373634,14.506198,61319.254,43.0,4.0,53.26937124459492,1
43.555504,1.3439862,10.184459,10.059304,14.517376,505.43625,1.0343089,10.373634,14.506198,61319.254,42.0,4.0,53.26937124459492,0
43.555504,1.3517255,10.184459,10.288538,14.517376,505.43625,1.021004,10.385451,14.550983,61319.254,63.0,4.0,53.26937124459492,1
43.555504,1.3594646,10.184459,10.422806,14.517376,505.43625,1.021004,10.385451,14.550983,61319.254,60.0,4.0,53.26937124459492,1
43.555504,1.367204,10.184459,10.557072,14.517376,505.43625,1.021004,10.385451,14.550983,61319.254,30.0,4.0,53.26937124459492,2
43.555504,1.3749433,10.184459,10.6913395,14.517376,505.43625,1.021004,10.385451,14.550983,61319.254,98.0,5.0,53.26937124459492,2
43.555504,1.3826824,10.184459,10.825606,14.517376,505.43625,1.021004,10.385451,14.550983,61319.254,162.0,5.0,53.26937124459492,1
43.555504,1.3904217,10.184459,10.959872,14.517376,505.43625,1.021004,10.385451,14.550983,61319.254,176.0,5.0,53.26937124459492,4
43.555504,1.398161,10.184459,11.094139,14.517376,505.43625,1.021004,10.385451,14.550983,61319.254,143.0,5.0,53.26937124459492,4
43.555504,1.4059004,11.978199,11.228407,14.517376,505.43625,1.021004,10.385451,14.550983,61319.254,67.0,7.0,53.26937124459492,6
43.555504,1.4136395,11.978199,11.362672,14.517376,505.43625,1.021004,10.385451,14.550983,61319.254,129.0,7.0,53.26937124459492,5
43.555504,1.4213789,11.978199,11.49694,14.517376,505.43625,1.021004,10.385451,14.550983,61319.254,0.0,0.0,53.26937124459492,5
43.555504,1.4291182,11.978199,11.631207,14.517376,505.43625,1.021004,10.385451,14.550983,61319.254,8.0,4.0,53.26937124459492,1
43.555504,1.4368573,11.978199,11.765472,14.517376,505.43625,1.021004,10.385451,14.550983,61319.254,11.0,3.0,53.26937124459492,0
43.555504,1.4445966,11.978199,11.89974,14.517376,505.43625,1.021004,10.385451,14.550983,61319.254,20.0,3.0,53.26937124459492,0
43.555504,1.452336,11.978199,11.932396,14.517376,505.43625,1.0096339,10.403446,14.424989,61319.254,166.0,5.0,53.26937124459492,1
43.555504,1.4600751,11.978199,11.729998,14.517376,505.43625,1.0096339,10.403446,14.424989,61319.254,66.0,5.0,53.26937124459492,1
43.555504,1.4678144,11.978199,11.527602,14.517376,505.43625,1.0096339,10.403446,14.424989,61319.254,75.0,3.0,53.26937124459492,4
43.555504,1.4755538,11.978199,11.325205,14.452524,511.00403,1.0096339,10.403446,14.424989,61419.324,155.0,7.0,53.26937124459492,1
43.555504,1.4832929,11.978199,11.122808,14.452524,511.00403,1.0096339,10.403446,14.424989,61419.324,376.0,7.0,53.26937124459492,1
43.555504,1.4910322,11.978199,10.920411,14.452524,511.00403,1.0096339,10.403446,14.424989,61419.324,112.0,6.0,53.26937124459492,1
43.555504,1.4987715,11.978199,10.718015,14.452524,511.00403,1.0096339,10.403446,14.424989,61419.324,16.0,4.0,53.26937124459492,1
43.555504,1.5065107,9.433032,10.515617,14.452524,511.00403,1.0096339,10.403446,14.424989,61419.324,133.0,5.0,53.26937124459492,1
