,season_year,temperature_class,type_uh,mean,range_min,range_max,avg_diff_per_class,areas_km²,percentages
59,Autumn_2023,5.0,uh_wavg,10.0975,9.385,10.8325,1.4250000000000005,182.76569999999998,21.519085929027863
60,Autumn_2023,6.0,uh_wavg,11.535,10.8325,12.3125,1.4374999999999998,148.9347,17.514296192485
61,Autumn_2023,7.0,uh_wavg,13.055,12.3125,14.0425,1.5199999999999996,110.58075,12.992864114211512
62,Autumn_2023,8.0,uh_wavg,15.135,14.0425,26.7025,2.0800000000000005,49.873275,5.837769745057777
63,Spring_2015,1.0,uh_req,,,,,7.6986,0.8058043536420397
64,Spring_2015,1.0,uh_wavg,0.8,-4.36,3.07,,8.1882,0.9506345051695584
65,Spring_2015,2.0,uh_wavg,5.55,3.07,6.62,4.75,114.2964,13.269595473567076
66,Spring_2015,3.0,uh_wavg,7.6,6.62,8.48,2.05,164.8134,19.134523455009955
67,Spring_2015,4.0,uh_wavg,9.29,8.48,10.09,1.6899999999999995,168.4377,19.555297817761968
68,Spring_2015,5.0,uh_wavg,10.9,10.09,11.75,1.6100000000000012,166.38389999999998,19.316855529259332
69,Spring_2015,6.0,uh_wavg,12.67,11.75,13.88,1.7699999999999996,153.4698,17.81755298862645
70,Spring_2015,7.0,uh_wavg,15.1,13.88,17.0,2.43,70.8723,8.22813974264533
71,Spring_2015,8.0,uh_wavg,18.54,17.0,34.07,3.4399999999999995,14.8788,1.7274004879603364
72,Spring_2017,1.0,uh_req,,,,,8.8884,0.9303394665149385
73,Spring_2017,1.0,uh_wavg,-0.85,-6.93,0.65,,29.70135,3.6714541591977703
74,Spring_2017,2.0,uh_wavg,2.275,0.65,3.205,3.125,91.8657,11.128128056945723
75,Spring_2017,3.0,uh_wavg,4.09,3.205,4.85,1.815,150.6852,18.146076793134696
76,Spring_2017,4.0,uh_wavg,5.615,4.85,6.365,1.5250000000000001,185.61645,22.218818302903443
77,Spring_2017,5.0,uh_wavg,7.13,6.365,7.960000000000001,1.5149999999999997,185.7438,22.210916874514098
78,Spring_2017,6.0,uh_wavg,8.76,7.960000000000001,9.805,1.63,120.4074,14.495730533279282
79,Spring_2017,7.0,uh_wavg,10.805,9.805,12.455,2.045000000000001,53.7561,6.490916199123827
80,Spring_2017,8.0,uh_wavg,14.105,12.455,26.689999999999998,3.3,13.3614,1.6379590809011604
81,Spring_2018,1.0,uh_req,,,,,21.1734,2.216197477645853
82,Spring_2018,1.0,uh_wavg,-0.59,-5.57,1.4,,9.3627,1.0869803720789295
83,Spring_2018,2.0,uh_wavg,3.81,1.4,4.76,4.4,130.0446,15.09777390014158
84,Spring_2018,3.0,uh_wavg,5.61,4.76,6.45,1.8000000000000005,153.35909999999998,17.804514892038593
85,Spring_2018,4.0,uh_wavg,7.21,6.45,7.99,1.5999999999999996,143.84969999999998,16.700503105882106
86,Spring_2018,5.0,uh_wavg,8.79,7.99,9.59,1.5799999999999992,146.81969999999998,17.045310875550516
87,Spring_2018,6.0,uh_wavg,10.44,9.59,11.34,1.6500000000000004,154.6362,17.952782232996014
88,Spring_2018,7.0,uh_wavg,12.25,11.34,13.67,1.8100000000000005,92.6712,10.758838311277826
89,Spring_2018,8.0,uh_wavg,15.19,13.67,30.78,2.9399999999999995,30.6063,3.5532963100344284
90,Spring_2019,1.0,uh_req,,,,,8.813699999999999,0.9225206961908458
91,Spring_2019,1.0,uh_wavg,2.53,-6.46,3.9,,38.1168,4.718176096074685
92,Spring_2019,2.0,uh_wavg,5.38,3.9,6.49,2.85,113.7159,14.075988569964403
93,Spring_2019,3.0,uh_wavg,7.59,6.49,8.65,2.21,141.0984,17.46545087925493
94,Spring_2019,4.0,uh_wavg,9.65,8.65,10.65,2.0600000000000005,137.1321,16.97449408724036
95,Spring_2019,5.0,uh_wavg,11.72,10.65,12.77,2.0700000000000003,155.5335,19.252257320625866
96,Spring_2019,6.0,uh_wavg,13.89,12.77,15.4,2.17,142.3917,17.625538219877786
97,Spring_2019,7.0,uh_wavg,16.79,15.4,18.83,2.8999999999999986,66.1581,8.18918602772842
98,Spring_2019,8.0,uh_wavg,20.68,18.84,38.66,3.890000000000001,13.725,1.6989087992335412
99,Spring_2020,1.0,uh_req,,,,,14.1768,1.483870724639866
100,Spring_2020,1.0,uh_wavg,1.395,-5.12,2.66,,39.8673,4.830867328649413
101,Spring_2020,2.0,uh_wavg,4.16,2.66,5.220000000000001,2.7649999999999997,83.36025000000001,10.118314854697726
102,Spring_2020,3.0,uh_wavg,6.35,5.220000000000001,7.34,2.19,140.06385,16.91237796981421
103,Spring_2020,4.0,uh_wavg,8.385,7.34,9.42,2.035,159.72840000000002,19.282037956045386
104,Spring_2020,5.0,uh_wavg,10.440000000000001,9.42,11.46,2.0550000000000006,165.9123,19.974312530313377
105,Spring_2020,6.0,uh_wavg,12.4,11.46,13.495000000000001,1.96,143.81414999999998,17.305480477976523
106,Spring_2020,7.0,uh_wavg,14.605,13.495000000000001,16.45,2.2050000000000005,76.89779999999999,9.25686435513174
107,Spring_2020,8.0,uh_wavg,18.135,16.45,33.269999999999996,3.530000000000001,19.242449999999998,2.319744527371643
108,Spring_2021,1.0,uh_req,,,,,10.4733,1.0962292802586413
109,Spring_2021,1.0,uh_wavg,1.45,-2.37,2.92,,8.9217,1.035780560385181
110,Spring_2021,2.0,uh_wavg,4.47,2.92,5.17,3.02,77.0085,8.940438177076368
111,Spring_2021,3.0,uh_wavg,6.0,5.17,6.72,1.5300000000000002,168.2334,19.531354487093758
112,Spring_2021,4.0,uh_wavg,7.47,6.72,8.18,1.4699999999999998,206.7678,24.005073893272705
113,Spring_2021,5.0,uh_wavg,8.82,8.18,9.51,1.3500000000000003,179.0442,20.78645345726896
114,Spring_2021,6.0,uh_wavg,10.18,9.51,11.08,1.3599999999999994,125.2008,14.535408586331416
115,Spring_2021,7.0,uh_wavg,11.99,11.08,13.2,1.8100000000000005,68.7069,7.976649224287817
116,Spring_2021,8.0,uh_wavg,14.47,13.2,29.26,2.4800000000000004,27.4671,3.1888416142838034
117,Spring_2023,1.0,uh_req,,,,,23.8212,2.4933399149167066
118,Spring_2023,1.0,uh_wavg,2.72,-2.06,3.61,,36.9261,4.287054722666879
119,Spring_2023,2.0,uh_wavg,4.52,3.61,5.27,1.7999999999999994,105.2433,12.218560484157468
120,Spring_2023,3.0,uh_wavg,6.06,5.27,6.82,1.54,132.759,15.413084455887082
121,Spring_2023,4.0,uh_wavg,7.57,6.82,8.31,1.510000000000001,143.8479,16.700486080054837
122,Spring_2023,5.0,uh_wavg,9.02,8.31,9.71,1.4499999999999993,145.917,16.940704920567914
123,Spring_2023,6.0,uh_wavg,10.42,9.71,11.14,1.4000000000000004,147.7755,17.15647347457379
124,Spring_2023,7.0,uh_wavg,11.98,11.14,13.3,1.5600000000000005,112.9149,13.109219638804486
125,Spring_2023,8.0,uh_wavg,14.71,13.3,29.76,2.7300000000000004,35.9559,4.17441622328754
126,Summer_2015,1.0,uh_req,,,,,16.79355,1.757763191113355
127,Summer_2015,1.0,uh_wavg,-0.9550000000000001,-6.995,0.905,,13.320450000000001,1.6000197502685145
128,Summer_2015,2.0,uh_wavg,2.585,0.905,3.7399999999999998,3.54,74.4606,8.881844483128
129,Summer_2015,3.0,uh_wavg,4.865,3.7399999999999998,5.815,2.28,92.1195,11.017743054988664
130,Summer_2015,4.0,uh_wavg,6.77,5.815,7.56,1.9049999999999998,138.9663,16.69775480561356
131,Summer_2015,5.0,uh_wavg,8.385,7.56,9.16,1.6150000000000002,188.2575,22.666897764618177
132,Summer_2015,6.0,uh_wavg,9.95,9.16,10.895,1.565,182.24505,21.927443974927698
133,Summer_2015,7.0,uh_wavg,11.809999999999999,10.895,13.145,1.8599999999999994,106.1964,12.824767316108355
134,Summer_2015,8.0,uh_wavg,14.495,13.145,28.66,2.6849999999999996,35.89425,4.38352885034703
135,Summer_2016,1.0,uh_req,,,,,14.947199999999999,1.564507681235328
136,Summer_2016,1.0,uh_wavg,4.085,-4.48,5.64,,44.8785,5.3122484837689194
137,Summer_2016,2.0,uh_wavg,7.300000000000001,5.64,8.625,3.215,79.32645,9.395158284845515
138,Summer_2016,3.0,uh_wavg,10.100000000000001,8.625,11.365,2.8,142.45335,16.817389345324727
139,Summer_2016,4.0,uh_wavg,12.66,11.365,13.925,2.5599999999999987,162.1017,19.20626045691295
140,Summer_2016,5.0,uh_wavg,15.105,13.93,16.259999999999998,2.445000000000001,158.0967,18.74797112030498
141,Summer_2016,6.0,uh_wavg,17.354999999999997,16.259999999999998,18.605,2.2499999999999982,144.19305,17.08014271007317
142,Summer_2016,7.0,uh_wavg,19.865000000000002,18.605,21.735,2.5100000000000016,83.74770000000001,9.971167420402637
143,Summer_2016,8.0,uh_wavg,23.549999999999997,21.735,39.695,3.6849999999999987,28.957500000000003,3.4696621783671056
144,Summer_2018,1.0,uh_req,,,,,15.169140000000002,1.5877379072825721
145,Summer_2018,1.0,uh_wavg,2.4099999999999997,-4.9399999999999995,4.164,,53.16354,6.292236875894698
146,Summer_2018,2.0,uh_wavg,5.774,4.164,7.026000000000001,3.364,82.11222000000001,9.725602530964128
147,Summer_2018,3.0,uh_wavg,8.24,7.026000000000001,9.284,2.466,123.32592,14.639852571113721
148,Summer_2018,4.0,uh_wavg,10.36,9.284,11.36,2.1199999999999997,155.20824,18.386972755934732
149,Summer_2018,5.0,uh_wavg,12.354000000000001,11.36,13.342000000000002,1.9940000000000009,176.87484,20.90947132093682
150,Summer_2018,6.0,uh_wavg,14.286000000000001,13.342000000000002,15.475999999999999,1.9319999999999997,144.5751,17.09176823092678
151,Summer_2018,7.0,uh_wavg,16.66,15.475999999999999,18.434,2.3739999999999997,80.76617999999999,9.538344064030058
152,Summer_2018,8.0,uh_wavg,20.188,18.434,36.362,3.528,28.9728,3.415751650199058
153,Summer_2019,1.0,uh_req,,,,,18.528299999999998,1.939337646531292
154,Summer_2019,1.0,uh_wavg,3.052,-3.022,4.608,,47.83572,5.672358016263198
155,Summer_2019,2.0,uh_wavg,6.118,4.608,7.284000000000001,3.0660000000000003,85.34178,10.069074515675831
156,Summer_2019,3.0,uh_wavg,8.462,7.284000000000001,9.486,2.3440000000000003,115.59114,13.617422036401333
157,Summer_2019,4.0,uh_wavg,10.51,9.486,11.434000000000001,2.0479999999999996,146.00232,17.192079996571607
158,Summer_2019,5.0,uh_wavg,12.368,11.436,13.252,1.858,170.0649,20.012778640960455
159,Summer_2019,6.0,uh_wavg,14.189999999999998,13.252,15.309999999999999,1.8219999999999992,165.6252,19.502364084350518
160,Summer_2019,7.0,uh_wavg,16.448,15.309999999999999,18.172,2.2580000000000013,91.56492,10.786572174867763
161,Summer_2019,8.0,uh_wavg,19.928,18.172,36.43,3.479999999999998,26.650260000000003,3.1473505349092994
162,Summer_2020,1.0,uh_req,,,,,22.6917,2.3751163395343404
163,Summer_2020,1.0,uh_wavg,-0.11499999999999999,-6.055,1.52,,24.00435,2.8156148642793424
164,Summer_2020,2.0,uh_wavg,3.3449999999999998,1.52,4.6850000000000005,3.46,56.5227,6.69306860501495
165,Summer_2020,3.0,uh_wavg,6.015,4.6850000000000005,7.109999999999999,2.67,79.60770000000001,9.407625756833504
166,Summer_2020,4.0,uh_wavg,8.185,7.109999999999999,9.06,2.170000000000001,118.60425000000001,14.04758233310331
167,Summer_2020,5.0,uh_wavg,9.985,9.06,10.765,1.7999999999999998,175.09589999999997,20.80431424021964
168,Summer_2020,6.0,uh_wavg,11.58,10.765,12.465,1.5949999999999998,201.357,23.94304899237803
169,Summer_2020,7.0,uh_wavg,13.34,12.465,14.485,1.7599999999999998,131.96475,15.700948897415248
170,Summer_2020,8.0,uh_wavg,15.670000000000002,14.485,29.045,2.330000000000001,55.32299999999999,6.587796310755974
171,Summer_2021,1.0,uh_req,,,,,12.9438,1.3548139132662866
172,Summer_2021,1.0,uh_wavg,4.09,-2.0,5.53,,55.5372,6.883058939008613
173,Summer_2021,2.0,uh_wavg,7.05,5.53,8.34,2.96,71.1,8.811850265470934
174,Summer_2021,3.0,uh_wavg,9.67,8.34,10.77,2.62,108.1179,13.399701066345424
175,Summer_2021,4.0,uh_wavg,11.78,10.77,12.67,2.1099999999999994,131.35049999999998,16.27905679739437
176,Summer_2021,5.0,uh_wavg,13.57,12.67,14.44,1.790000000000001,160.947,19.94712889840718
177,Summer_2021,6.0,uh_wavg,15.4,14.44,16.61,1.83,153.9405,19.078771248828808
178,Summer_2021,7.0,uh_wavg,17.79,16.61,19.29,2.389999999999999,92.2113,11.428300539865258
179,Summer_2021,8.0,uh_wavg,20.71,19.29,37.8,2.9200000000000017,33.6636,4.172132244679428
180,Summer_2022,1.0,uh_req,,,,,25.27755,2.6457745355524827
181,Summer_2022,1.0,uh_wavg,-3.1783333333333332,-13.623333333333333,0.14833333333333343,,32.7207,3.9557953828109578
182,Summer_2022,2.0,uh_wavg,3.6266666666666665,0.14833333333333343,5.493333333333333,6.805,50.8725,6.110650977802286
183,Summer_2022,3.0,uh_wavg,7.448333333333333,5.495,8.783333333333333,3.821666666666667,86.406,10.362404825845411
184,Summer_2022,4.0,uh_wavg,10.158333333333333,8.783333333333333,11.266666666666666,2.7099999999999995,127.5039,15.288084416658114
185,Summer_2022,5.0,uh_wavg,12.451666666666666,11.266666666666666,13.511666666666665,2.293333333333333,183.13365,21.8774118142377
186,Summer_2022,6.0,uh_wavg,14.563333333333333,13.511666666666665,15.721666666666666,2.1116666666666664,189.909,22.604508232111286
187,Summer_2022,7.0,uh_wavg,16.83,15.721666666666666,18.39,2.266666666666667,123.45555,14.693722307448247
188,Summer_2022,8.0,uh_wavg,19.963333333333335,18.39,35.31166666666667,3.133333333333334,42.68475,5.107422043086001
189,Summer_2023,1.0,uh_req,,,,,14.0094,1.46634914294973
190,Summer_2023,1.0,uh_wavg,3.5050000000000003,-3.09,5.154999999999999,,27.63315,3.435122026708056
191,Summer_2023,2.0,uh_wavg,7.015000000000001,5.154999999999999,8.415000000000001,3.51,63.836099999999995,7.699866863010891
192,Summer_2023,3.0,uh_wavg,9.82,8.415000000000001,10.965,2.8049999999999997,90.60704999999999,10.9670291741888
193,Summer_2023,4.0,uh_wavg,12.09,10.965,13.04,2.2700000000000005,134.0145,16.204618492468317
194,Summer_2023,5.0,uh_wavg,14.035,13.04,14.940000000000001,1.9449999999999994,182.9097,22.044243705852878
195,Summer_2023,6.0,uh_wavg,15.870000000000001,14.940000000000001,17.0,1.8350000000000017,185.97375,22.434414800198194
196,Summer_2023,7.0,uh_wavg,18.115000000000002,17.0,19.625,2.244999999999999,109.69335000000001,13.29426415272898
197,Summer_2023,8.0,uh_wavg,20.97,19.625,36.65,2.8549999999999986,32.4477,3.9204407848438767
198,Winter_2019,1.0,uh_req,,,,,3.6387,0.3808588966302042
199,Winter_2019,1.0,uh_wavg,-2.31,-6.93,-0.76,,8.3718,1.0478033527003858
200,Winter_2019,2.0,uh_wavg,0.78,-0.76,1.3,3.09,82.4679,10.321572673757156
201,Winter_2019,3.0,uh_wavg,1.8,1.3,2.2,1.02,187.1901,23.42846393515379
202,Winter_2019,4.0,uh_wavg,2.63,2.2,3.09,0.8299999999999998,253.4733,31.72438108411939
203,Winter_2019,5.0,uh_wavg,3.52,3.09,4.09,0.8900000000000001,162.3033,20.313665148992637
204,Winter_2019,6.0,uh_wavg,4.56,4.09,5.24,1.0399999999999996,69.9354,8.75302164318815
205,Winter_2019,7.0,uh_wavg,5.89,5.24,7.12,1.33,30.0546,3.761593760489861
206,Winter_2019,8.0,uh_wavg,8.41,7.12,18.58,2.5200000000000005,5.1894,0.6494984015986267
207,Winter_2020,1.0,uh_req,,,,,5.2425,0.5487269534679543
208,Winter_2020,1.0,uh_wavg,0.6950000000000001,-9.21,1.2049999999999998,,45.3186,5.262969966012881
209,Winter_2020,2.0,uh_wavg,1.72,1.2049999999999998,2.09,1.025,120.76604999999999,14.025077365065929
210,Winter_2020,3.0,uh_wavg,2.4699999999999998,2.0949999999999998,2.8049999999999997,0.7499999999999998,179.9046,20.89302682316064
211,Winter_2020,4.0,uh_wavg,3.135,2.8049999999999997,3.4699999999999998,0.6650000000000001,202.3119,23.494766674126687
212,Winter_2020,5.0,uh_wavg,3.8,3.4699999999999998,4.2,0.665,166.65255000000002,19.353180041072232
213,Winter_2020,6.0,uh_wavg,4.605,4.2,5.205,0.8050000000000002,99.3357,11.53562589507372
214,Winter_2020,7.0,uh_wavg,5.815,5.205,7.0600000000000005,1.2100000000000004,40.2579,4.675115169602471
215,Winter_2020,8.0,uh_wavg,8.285,7.0600000000000005,16.745,2.4699999999999993,6.54615,0.7602380658854428
216,Winter_2021,1.0,uh_req,,,,,5.5548,0.5814150655457878
217,Winter_2021,1.0,uh_wavg,-2.06,-12.64,-1.65,,20.1816,2.3445227206668044
218,Winter_2021,2.0,uh_wavg,-1.21,-1.65,-0.94,0.8500000000000001,75.69,8.79300574420613
219,Winter_2021,3.0,uh_wavg,-0.63,-0.93,-0.4,0.58,162.1899,18.84181163102415
220,Winter_2021,4.0,uh_wavg,-0.17,-0.4,0.05,0.4599999999999999,210.5811,24.46348027376464
221,Winter_2021,5.0,uh_wavg,0.24,0.06,0.44,0.41,166.3173,19.321297057218317
222,Winter_2021,6.0,uh_wavg,0.64,0.44,0.89,0.4,127.5966,14.823062977159095
223,Winter_2021,7.0,uh_wavg,1.16,0.89,1.63,0.5199999999999999,81.2538,9.439359626616149
224,Winter_2021,8.0,uh_wavg,2.08,1.63,5.25,0.9200000000000002,16.9875,1.9734599693447168
225,Winter_2022,1.0,uh_req,,,,,4.9923,0.5225387829848486
226,Winter_2022,1.0,uh_wavg,-4.49,-12.62,-3.81,,14.5044,1.826256344473013
227,Winter_2022,2.0,uh_wavg,-3.11,-3.81,-2.75,1.3800000000000003,70.9272,8.9304796472592
228,Winter_2022,3.0,uh_wavg,-2.39,-2.75,-2.08,0.7199999999999998,161.32139999999998,20.31205911649353
229,Winter_2022,4.0,uh_wavg,-1.79,-2.08,-1.51,0.6000000000000001,188.928,23.78802009380584
230,Winter_2022,5.0,uh_wavg,-1.25,-1.51,-0.98,0.54,159.5196,20.085193566627872
231,Winter_2022,6.0,uh_wavg,-0.73,-0.98,-0.43,0.52,111.8673,14.08526835746849
232,Winter_2022,7.0,uh_wavg,-0.12,-0.43,0.37,0.61,67.4361,8.490913479462547
233,Winter_2022,8.0,uh_wavg,0.95,0.37,6.2,1.0699999999999998,19.7109,2.4818093944094977
