,mean,range_min,range_max,avg_diff_per_class,areas_km²,percentages,date,type_uh
7.0,14.29,13.4,15.53,1.799999999999999,89.45009999999999,10.384954568631876,2016-09-22,uh_wavg
8.0,16.65,15.53,31.27,2.3599999999999994,23.247,2.6989241918900624,2016-09-22,uh_wavg
1.0,0.27,-3.74,1.6,,10.2915,1.2621621770779872,2016-09-29,uh_wavg
2.0,3.04,1.6,4.06,2.77,55.781099999999995,6.841062489997076,2016-09-29,uh_wavg
3.0,5.13,4.06,5.89,2.09,84.5046,10.363747744167952,2016-09-29,uh_wavg
4.0,6.64,5.89,7.27,1.5099999999999998,143.685,17.621704553607405,2016-09-29,uh_wavg
5.0,7.88,7.27,8.51,1.2400000000000002,178.00469999999999,21.830714636555797,2016-09-29,uh_wavg
6.0,9.15,8.51,9.84,1.2700000000000005,157.10399999999998,19.267427164908913,2016-09-29,uh_wavg
7.0,10.52,9.84,11.34,1.3699999999999992,129.3417,15.862624657141126,2016-09-29,uh_wavg
8.0,12.18,11.34,23.17,1.6600000000000001,56.673899999999996,6.950556576543762,2016-09-29,uh_wavg
1.0,-0.54,-4.78,1.08,,8.4114,0.9765669898205481,2017-03-17,uh_wavg
2.0,2.96,1.08,3.79,3.5,78.0345,9.05983745478179,2017-03-17,uh_wavg
3.0,4.54,3.79,5.11,1.58,152.4834,17.703385278978836,2017-03-17,uh_wavg
4.0,5.74,5.11,6.34,1.2000000000000002,218.4129,25.357827269060607,2017-03-17,uh_wavg
5.0,6.99,6.34,7.71,1.25,223.8525,25.98936706003807,2017-03-17,uh_wavg
6.0,8.37,7.71,9.33,1.379999999999999,122.7996,14.25708392457467,2017-03-17,uh_wavg
7.0,10.3,9.33,12.1,1.9300000000000015,50.4198,5.853759458990664,2017-03-17,uh_wavg
8.0,13.88,12.1,27.41,3.58,6.9093,0.8021725637547987,2017-03-17,uh_wavg
1.0,-1.16,-9.08,0.22,,50.991299999999995,6.366341328574992,2017-05-27,uh_wavg
2.0,1.59,0.22,2.62,2.75,105.6969,13.196418659109654,2017-05-27,uh_wavg
3.0,3.64,2.62,4.59,2.05,148.887,18.588768307290557,2017-05-27,uh_wavg
4.0,5.49,4.59,6.39,1.85,152.82,19.079809336746276,2017-05-27,uh_wavg
5.0,7.27,6.39,8.21,1.7799999999999994,147.6351,18.43246668899012,2017-05-27,uh_wavg
6.0,9.15,8.21,10.28,1.8800000000000008,118.0152,14.734377141983895,2017-05-27,uh_wavg
7.0,11.31,10.28,12.81,2.16,57.0924,7.128072939256989,2017-05-27,uh_wavg
8.0,14.33,12.81,25.97,3.0199999999999996,19.8135,2.4737455980475223,2017-05-27,uh_wavg
1.0,-0.74,-7.54,0.05,,44.8425,5.2064937751965035,2017-10-11,uh_wavg
2.0,0.77,0.05,1.31,1.51,70.2909,8.161211647498687,2017-10-11,uh_wavg
3.0,1.91,1.31,2.38,1.14,135.35819999999998,15.715930773748193,2017-10-11,uh_wavg
4.0,2.9,2.38,3.38,0.99,206.58689999999999,23.986026847012155,2017-10-11,uh_wavg
5.0,3.86,3.38,4.4,0.96,196.8012,22.849846077966262,2017-10-11,uh_wavg
6.0,4.93,4.4,5.61,1.0699999999999998,134.1963,15.581026941058207,2017-10-11,uh_wavg
7.0,6.22,5.61,7.25,1.29,60.971399999999996,7.079159604505014,2017-10-11,uh_wavg
8.0,8.28,7.25,16.7,2.0599999999999996,12.2328,1.42030433301497,2017-10-11,uh_wavg
1.0,-0.59,-5.57,1.4,,9.3627,1.0869803720789295,2018-04-21,uh_wavg
2.0,3.81,1.4,4.76,4.4,130.0446,15.097773900141581,2018-04-21,uh_wavg
3.0,5.61,4.76,6.45,1.8000000000000003,153.35909999999998,17.804514892038593,2018-04-21,uh_wavg
4.0,7.21,6.45,7.99,1.5999999999999996,143.84969999999998,16.700503105882106,2018-04-21,uh_wavg
5.0,8.79,7.99,9.59,1.5799999999999992,146.81969999999998,17.045310875550516,2018-04-21,uh_wavg
6.0,10.44,9.59,11.34,1.6500000000000004,154.6362,17.952782232996014,2018-04-21,uh_wavg
7.0,12.25,11.34,13.67,1.8100000000000005,92.6712,10.758838311277826,2018-04-21,uh_wavg
8.0,15.19,13.67,30.78,2.9399999999999995,30.606299999999997,3.5532963100344284,2018-04-21,uh_wavg
1.0,2.63,-5.24,4.7,,57.4875,7.026774900085036,2018-07-01,uh_wavg
2.0,6.6,4.7,7.88,3.9699999999999998,95.3325,11.652620450747671,2018-07-01,uh_wavg
3.0,9.1,7.88,10.21,2.5,165.8475,20.271764300793272,2018-07-01,uh_wavg
4.0,11.37,10.21,12.59,2.2699999999999996,166.4433,20.344589740853642,2018-07-01,uh_wavg
5.0,13.8,12.59,15.03,2.4300000000000015,158.4684,19.36980692457727,2018-07-01,uh_wavg
6.0,16.13,15.03,17.62,2.3299999999999983,112.61699999999999,13.76532827002177,2018-07-01,uh_wavg
7.0,19.03,17.62,21.16,2.900000000000002,47.4327,5.79776309290304,2018-07-01,uh_wavg
8.0,23.38,21.16,39.94,4.349999999999998,14.4918,1.7713523200183057,2018-07-01,uh_wavg
1.0,1.37,-6.2,3.05,,50.336999999999996,5.843828820639488,2018-07-26,uh_wavg
2.0,4.63,3.05,5.86,3.26,100.0602,11.61639908137059,2018-07-26,uh_wavg
3.0,7.04,5.86,8.1,2.41,130.7655,15.181103316553093,2018-07-26,uh_wavg
